Location,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Region,longitude,latitude
Haryana,29-02-2020,Monthly,25.77,7322942,44.21,Urban,North,29.0588,76.0856
Haryana,31-03-2020,Monthly,25.05,6641555,39.63,Urban,North,29.0588,76.0856
Haryana,30-04-2020,Monthly,43.22,5647630,44.38,Urban,North,29.0588,76.0856
Haryana,31-05-2020,Monthly,29.02,6437868,40.39,Urban,North,29.0588,76.0856
Haryana,30-06-2020,Monthly,26.7,6951934,42.14,Urban,North,29.0588,76.0856
Haryana,31-07-2020,Monthly,24.18,6800652,39.77,Urban,North,29.0588,76.0856
Haryana,31-08-2020,Monthly,33.5,7113788,47.32,Urban,North,29.0588,76.0856
Haryana,30-09-2020,Monthly,19.68,7132439,39.2,Urban,North,29.0588,76.0856
Haryana,31-10-2020,Monthly,27.31,6698551,40.6,Urban,North,29.0588,76.0856
Himachal Pradesh,31-05-2019,Monthly,13.68,2045760,44.23,Rural,North,31.1048,77.1734
Himachal Pradesh,30-06-2019,Monthly,11.43,1957081,41.18,Rural,North,31.1048,77.1734
Himachal Pradesh,31-07-2019,Monthly,20.59,1916824,44.91,Rural,North,31.1048,77.1734
Himachal Pradesh,31-08-2019,Monthly,18.56,1969248,44.91,Rural,North,31.1048,77.1734
Himachal Pradesh,30-09-2019,Monthly,15.98,2039804,45.02,Rural,North,31.1048,77.1734
Himachal Pradesh,31-10-2019,Monthly,15.81,1946957,42.81,Rural,North,31.1048,77.1734
Himachal Pradesh,30-11-2019,Monthly,22.86,2024409,48.5,Rural,North,31.1048,77.1734
Himachal Pradesh,31-12-2019,Monthly,19.46,1922821,44.05,Rural,North,31.1048,77.1734
Himachal Pradesh,31-01-2020,Monthly,16.67,2041035,45.11,Rural,North,31.1048,77.1734
Himachal Pradesh,29-02-2020,Monthly,15.42,1952464,42.45,Rural,North,31.1048,77.1734
Himachal Pradesh,31-03-2020,Monthly,17.71,1800426,40.17,Rural,North,31.1048,77.1734
Himachal Pradesh,30-04-2020,Monthly,2.13,984171,18.43,Rural,North,31.1048,77.1734
Himachal Pradesh,31-05-2020,Monthly,25.64,1732050,42.62,Rural,North,31.1048,77.1734
Himachal Pradesh,30-06-2020,Monthly,1.12,2230075,41.2,Rural,North,31.1048,77.1734
Himachal Pradesh,31-05-2019,Monthly,10.88,245668,45.27,Urban,North,31.1048,77.1734
Himachal Pradesh,30-06-2019,Monthly,21.43,237576,49.58,Urban,North,31.1048,77.1734
Himachal Pradesh,31-07-2019,Monthly,21.51,235894,49.22,Urban,North,31.1048,77.1734
Himachal Pradesh,31-08-2019,Monthly,24.48,236315,51.17,Urban,North,31.1048,77.1734
Himachal Pradesh,30-09-2019,Monthly,12,247210,45.87,Urban,North,31.1048,77.1734
Himachal Pradesh,31-10-2019,Monthly,23.77,232322,49.69,Urban,North,31.1048,77.1734
Himachal Pradesh,30-11-2019,Monthly,27.27,233029,52.17,Urban,North,31.1048,77.1734
Himachal Pradesh,31-12-2019,Monthly,25.32,241366,52.55,Urban,North,31.1048,77.1734
Himachal Pradesh,31-01-2020,Monthly,18.15,246596,48.92,Urban,North,31.1048,77.1734
Himachal Pradesh,29-02-2020,Monthly,27.31,227804,50.82,Urban,North,31.1048,77.1734
Himachal Pradesh,31-03-2020,Monthly,26.44,221432,48.74,Urban,North,31.1048,77.1734
Himachal Pradesh,30-04-2020,Monthly,2.7,146957,24.42,Urban,North,31.1048,77.1734
Himachal Pradesh,31-05-2020,Monthly,50,134868,43.55,Urban,North,31.1048,77.1734
Himachal Pradesh,30-06-2020,Monthly,10.81,224902,40.66,Urban,North,31.1048,77.1734
Himachal Pradesh,31-01-2020,Monthly,16.83,2287632,45.5,Urban,North,31.1048,77.1734
Himachal Pradesh,29-02-2020,Monthly,16.84,2180268,43.3,Urban,North,31.1048,77.1734
Himachal Pradesh,31-03-2020,Monthly,18.76,2021858,41.04,Urban,North,31.1048,77.1734
Himachal Pradesh,30-04-2020,Monthly,2.2,1131128,19.04,Urban,North,31.1048,77.1734
Himachal Pradesh,31-05-2020,Monthly,26.95,1897639,42.7,Urban,North,31.1048,77.1734
Himachal Pradesh,30-06-2020,Monthly,13.47,2199683,41.72,Urban,North,31.1048,77.1734
Himachal Pradesh,31-07-2020,Monthly,24.31,2229456,48.25,Urban,North,31.1048,77.1734
Himachal Pradesh,31-08-2020,Monthly,15.79,2029740,39.42,Urban,North,31.1048,77.1734
Himachal Pradesh,30-09-2020,Monthly,12.04,2237480,41.54,Urban,North,31.1048,77.1734
Himachal Pradesh,31-10-2020,Monthly,13.46,2123965,40.01,Urban,North,31.1048,77.1734
Jammu & Kashmir,31-05-2019,Monthly,12.78,2495186,40.57,Rural,North,33.7782,76.5762
Jammu & Kashmir,30-06-2019,Monthly,12.09,2423742,39.02,Rural,North,33.7782,76.5762
Jammu & Kashmir,31-07-2019,Monthly,13.67,2549316,41.71,Rural,North,33.7782,76.5762
Jammu & Kashmir,31-08-2019,Monthly,11.32,2778624,44.17,Rural,North,33.7782,76.5762
Jammu & Kashmir,31-10-2019,Monthly,19.27,2477621,43.08,Rural,North,33.7782,76.5762
Jammu & Kashmir,30-11-2019,Monthly,14.73,2415724,39.69,Rural,North,33.7782,76.5762
Jammu & Kashmir,31-01-2020,Monthly,22.19,2373488,42.56,Rural,North,33.7782,76.5762
Jammu & Kashmir,29-02-2020,Monthly,21.23,2163397,38.25,Rural,North,33.7782,76.5762
Jammu & Kashmir,31-03-2020,Monthly,16,2361004,39.06,Rural,North,33.7782,76.5762
Jammu & Kashmir,31-05-2020,Monthly,2.22,2716966,38.46,Rural,North,33.7782,76.5762
Jammu & Kashmir,30-06-2020,Monthly,18.97,2049617,34.94,Rural,North,33.7782,76.5762
Jammu & Kashmir,31-05-2019,Monthly,23.04,1130139,46.74,Urban,North,33.7782,76.5762
Jammu & Kashmir,30-06-2019,Monthly,19.88,1139815,45.17,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-07-2019,Monthly,21.55,1183770,47.8,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-10-2019,Monthly,24.06,1029087,42.63,Urban,North,33.7782,76.5762
Jammu & Kashmir,30-11-2019,Monthly,14.29,1226793,44.92,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-12-2019,Monthly,7.02,1209085,40.71,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-01-2020,Monthly,18.54,1079537,41.4,Urban,North,33.7782,76.5762
Jammu & Kashmir,29-02-2020,Monthly,19.86,1060116,41.23,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-03-2020,Monthly,14.29,998103,36.21,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-05-2020,Monthly,12.96,937435,33.33,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-01-2020,Monthly,21.08,3453025,42.2,Urban,North,33.7782,76.5762
Jammu & Kashmir,29-02-2020,Monthly,20.78,3223513,39.17,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-03-2020,Monthly,15.5,3359107,38.18,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-05-2020,Monthly,18.74,3246493,38.21,Urban,North,33.7782,76.5762
Jammu & Kashmir,30-06-2020,Monthly,17.92,3202336,37.24,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-07-2020,Monthly,10.88,3558889,38.03,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-08-2020,Monthly,11.09,3429950,36.66,Urban,North,33.7782,76.5762
Jammu & Kashmir,30-09-2020,Monthly,16.17,3210281,36.31,Urban,North,33.7782,76.5762
Jammu & Kashmir,31-10-2020,Monthly,16.14,3106691,35.05,Urban,North,33.7782,76.5762
Jharkhand,31-05-2019,Monthly,7.11,7035766,39.04,Rural,East,23.6102,85.2799
Jharkhand,30-06-2019,Monthly,8.46,7319782,41.12,Rural,East,23.6102,85.2799
Jharkhand,31-07-2019,Monthly,9.98,6958404,39.66,Rural,East,23.6102,85.2799
Jharkhand,31-08-2019,Monthly,12.06,7015356,40.83,Rural,East,23.6102,85.2799
Jharkhand,30-09-2019,Monthly,7.12,7500122,41.24,Rural,East,23.6102,85.2799
Jharkhand,31-10-2019,Monthly,6.57,7761243,42.33,Rural,East,23.6102,85.2799
Jharkhand,30-11-2019,Monthly,8.07,7279628,40.26,Rural,East,23.6102,85.2799
Jharkhand,31-12-2019,Monthly,15.15,6873437,41.09,Rural,East,23.6102,85.2799
Jharkhand,31-01-2020,Monthly,6.16,7868736,42.43,Rural,East,23.6102,85.2799
Jharkhand,29-02-2020,Monthly,9.06,7932402,44.05,Rural,East,23.6102,85.2799
Jharkhand,31-03-2020,Monthly,5.01,7157454,37.96,Rural,East,23.6102,85.2799
Jharkhand,30-04-2020,Monthly,41.72,4280434,36.92,Rural,East,23.6102,85.2799
Jharkhand,31-05-2020,Monthly,55.1,3315038,37.03,Rural,East,23.6102,85.2799
Jharkhand,30-06-2020,Monthly,21.53,6375114,40.65,Rural,East,23.6102,85.2799
Jharkhand,31-05-2019,Monthly,17.23,2404033,43.25,Urban,East,23.6102,85.2799
Jharkhand,30-06-2019,Monthly,20.51,2326911,43.51,Urban,East,23.6102,85.2799
Jharkhand,31-07-2019,Monthly,15.67,2434579,42.82,Urban,East,23.6102,85.2799
Jharkhand,31-08-2019,Monthly,20.25,2335406,43.35,Urban,East,23.6102,85.2799
Jharkhand,30-09-2019,Monthly,21.16,2357627,44.18,Urban,East,23.6102,85.2799
Jharkhand,31-10-2019,Monthly,19.05,2460196,44.82,Urban,East,23.6102,85.2799
Jharkhand,30-11-2019,Monthly,17.34,2424281,43.17,Urban,East,23.6102,85.2799
Jharkhand,31-12-2019,Monthly,22.01,2290170,43.14,Urban,East,23.6102,85.2799
Jharkhand,31-01-2020,Monthly,22.96,2329293,44.33,Urban,East,23.6102,85.2799
Jharkhand,29-02-2020,Monthly,19.67,2493023,45.42,Urban,East,23.6102,85.2799
Jharkhand,31-03-2020,Monthly,16.4,2480661,43.34,Urban,East,23.6102,85.2799
Jharkhand,30-04-2020,Monthly,61.48,1054829,39.92,Urban,East,23.6102,85.2799
Jharkhand,31-05-2020,Monthly,70.17,830347,40.49,Urban,East,23.6102,85.2799
Jharkhand,30-06-2020,Monthly,19.38,2244460,40.43,Urban,East,23.6102,85.2799
Jharkhand,31-01-2020,Monthly,10.61,10198029,42.92,Urban,East,23.6102,85.2799
Jharkhand,29-02-2020,Monthly,11.85,10425425,44.4,Urban,East,23.6102,85.2799
Jharkhand,31-03-2020,Monthly,8.23,9638115,39.34,Urban,East,23.6102,85.2799
Jharkhand,30-04-2020,Monthly,47.09,5335262,37.69,Urban,East,23.6102,85.2799
Jharkhand,31-05-2020,Monthly,59.23,4145385,37.92,Urban,East,23.6102,85.2799
Jharkhand,30-06-2020,Monthly,20.95,8622722,40.59,Urban,East,23.6102,85.2799
Jharkhand,31-07-2020,Monthly,7.63,9521900,38.27,Urban,East,23.6102,85.2799
Jharkhand,31-08-2020,Monthly,9.76,9331640,38.31,Urban,East,23.6102,85.2799
Jharkhand,30-09-2020,Monthly,8.24,10185670,41.04,Urban,East,23.6102,85.2799
Jharkhand,31-10-2020,Monthly,11.8,10302276,43.08,Urban,East,23.6102,85.2799
Karnataka,31-05-2019,Monthly,5.46,13911440,46.36,Rural,South,15.3173,75.7139
Karnataka,30-06-2019,Monthly,5.98,12888490,43.12,Rural,South,15.3173,75.7139
Karnataka,31-07-2019,Monthly,0.52,12169808,38.42,Rural,South,15.3173,75.7139
Karnataka,31-08-2019,Monthly,0.37,12686470,39.93,Rural,South,15.3173,75.7139
Karnataka,30-09-2019,Monthly,3.2,13741892,44.45,Rural,South,15.3173,75.7139
Karnataka,31-10-2019,Monthly,7.13,12803527,43.1,Rural,South,15.3173,75.7139
Karnataka,30-11-2019,Monthly,1.19,11537217,36.45,Rural,South,15.3173,75.7139
Karnataka,31-12-2019,Monthly,0.41,12756132,39.92,Rural,South,15.3173,75.7139
Karnataka,31-01-2020,Monthly,2.57,13938874,44.52,Rural,South,15.3173,75.7139
Karnataka,29-02-2020,Monthly,4.11,12753657,41.33,Rural,South,15.3173,75.7139
Karnataka,31-03-2020,Monthly,2.39,12853818,40.85,Rural,South,15.3173,75.7139
Karnataka,30-04-2020,Monthly,33.17,9330400,43.25,Rural,South,15.3173,75.7139
Karnataka,31-05-2020,Monthly,23.72,10626328,43.09,Rural,South,15.3173,75.7139
Karnataka,30-06-2020,Monthly,10.92,15396213,53.37,Rural,South,15.3173,75.7139
Karnataka,31-05-2019,Monthly,6.56,8638239,40.62,Urban,South,15.3173,75.7139
Karnataka,30-06-2019,Monthly,5,8862498,40.89,Urban,South,15.3173,75.7139
Karnataka,31-07-2019,Monthly,2.29,8738029,39.09,Urban,South,15.3173,75.7139
Karnataka,31-08-2019,Monthly,1.27,8614340,38.04,Urban,South,15.3173,75.7139
Karnataka,30-09-2019,Monthly,3.57,8647794,39,Urban,South,15.3173,75.7139
Karnataka,31-10-2019,Monthly,3.87,8799249,39.7,Urban,South,15.3173,75.7139
Karnataka,30-11-2019,Monthly,3.44,8613835,38.6,Urban,South,15.3173,75.7139
Karnataka,31-12-2019,Monthly,1.56,8592376,37.66,Urban,South,15.3173,75.7139
Karnataka,31-01-2020,Monthly,3.31,8749154,38.94,Urban,South,15.3173,75.7139
Karnataka,29-02-2020,Monthly,2.88,8924061,39.45,Urban,South,15.3173,75.7139
Karnataka,31-03-2020,Monthly,4.92,9225835,41.55,Urban,South,15.3173,75.7139
Karnataka,30-04-2020,Monthly,25.12,7387995,42.14,Urban,South,15.3173,75.7139
Karnataka,31-05-2020,Monthly,15.88,8669258,43.9,Urban,South,15.3173,75.7139
Karnataka,30-06-2020,Monthly,6.12,8822411,39.93,Urban,South,15.3173,75.7139
Karnataka,31-01-2020,Monthly,2.86,22688028,42.18,Urban,South,15.3173,75.7139
Karnataka,29-02-2020,Monthly,3.61,21677719,40.54,Urban,South,15.3173,75.7139
Karnataka,31-03-2020,Monthly,3.46,22079653,41.14,Urban,South,15.3173,75.7139
Karnataka,30-04-2020,Monthly,29.84,16718395,42.78,Urban,South,15.3173,75.7139
Karnataka,31-05-2020,Monthly,19.97,19397853,43.43,Urban,South,15.3173,75.7139
Karnataka,30-06-2020,Monthly,8.44,24215057,47.29,Urban,South,15.3173,75.7139
Karnataka,31-07-2020,Monthly,4.01,22885616,42.55,Urban,South,15.3173,75.7139
Karnataka,31-08-2020,Monthly,0.5,24094289,43.13,Urban,South,15.3173,75.7139
Karnataka,30-09-2020,Monthly,2.41,20127176,36.66,Urban,South,15.3173,75.7139
Karnataka,31-10-2020,Monthly,1.58,22356390,40.3,Urban,South,15.3173,75.7139
Kerala,31-05-2019,Monthly,6.63,5184355,38.07,Rural,South,10.8505,76.2711
Kerala,30-06-2019,Monthly,9,5605627,42.19,Rural,South,10.8505,76.2711
Kerala,31-07-2019,Monthly,4.95,4855393,34.96,Rural,South,10.8505,76.2711
Kerala,31-08-2019,Monthly,10.32,5233449,39.9,Rural,South,10.8505,76.2711
Kerala,30-09-2019,Monthly,5.35,5400499,38.97,Rural,South,10.8505,76.2711
Kerala,31-10-2019,Monthly,9.14,5328825,40.02,Rural,South,10.8505,76.2711
Kerala,30-11-2019,Monthly,5,4557906,32.71,Rural,South,10.8505,76.2711
Kerala,31-12-2019,Monthly,10.77,5065804,38.67,Rural,South,10.8505,76.2711
Kerala,31-01-2020,Monthly,4.11,5307026,37.66,Rural,South,10.8505,76.2711
Kerala,29-02-2020,Monthly,8.91,5203579,38.84,Rural,South,10.8505,76.2711
Kerala,31-03-2020,Monthly,8.85,4141953,30.87,Rural,South,10.8505,76.2711
Kerala,30-04-2020,Monthly,10.71,1754170,13.33,Rural,South,10.8505,76.2711
Kerala,31-05-2020,Monthly,23.38,3799919,33.62,Rural,South,10.8505,76.2711
Kerala,30-06-2020,Monthly,27.66,3952088,37.01,Rural,South,10.8505,76.2711
Kerala,31-05-2019,Monthly,6.11,4605913,36.65,Urban,South,10.8505,76.2711
Kerala,30-06-2019,Monthly,6.67,4678374,37.42,Urban,South,10.8505,76.2711
Kerala,31-07-2019,Monthly,7.58,4105211,33.13,Urban,South,10.8505,76.2711
Kerala,31-08-2019,Monthly,7.69,4448650,35.91,Urban,South,10.8505,76.2711
Kerala,30-09-2019,Monthly,5.52,4640642,36.57,Urban,South,10.8505,76.2711
Kerala,31-10-2019,Monthly,5.35,4644510,36.49,Urban,South,10.8505,76.2711
Kerala,30-11-2019,Monthly,6.71,4062767,32.36,Urban,South,10.8505,76.2711
Kerala,31-12-2019,Monthly,7.31,4440283,35.56,Urban,South,10.8505,76.2711
Kerala,31-01-2020,Monthly,6.65,4597507,36.53,Urban,South,10.8505,76.2711
Kerala,29-02-2020,Monthly,6.08,4624444,36.48,Urban,South,10.8505,76.2711
Kerala,31-03-2020,Monthly,9.14,4079775,33.24,Urban,South,10.8505,76.2711
Kerala,30-04-2020,Monthly,21.43,2179106,20.51,Urban,South,10.8505,76.2711
Kerala,31-05-2020,Monthly,30.28,2826118,29.95,Urban,South,10.8505,76.2711
Kerala,30-06-2020,Monthly,12.17,4601293,38.68,Urban,South,10.8505,76.2711
Kerala,31-01-2020,Monthly,5.31,9904534,37.12,Urban,South,10.8505,76.2711
Kerala,29-02-2020,Monthly,7.6,9828023,37.71,Urban,South,10.8505,76.2711
Kerala,31-03-2020,Monthly,8.99,8221728,32,Urban,South,10.8505,76.2711
Kerala,30-04-2020,Monthly,16.99,3933276,16.77,Urban,South,10.8505,76.2711
Kerala,31-05-2020,Monthly,17.88,7921962,34.11,Urban,South,10.8505,76.2711
Kerala,30-06-2020,Monthly,9.71,9228268,36.11,Urban,South,10.8505,76.2711
Kerala,31-07-2020,Monthly,7.09,9504420,36.1,Urban,South,10.8505,76.2711
Kerala,31-08-2020,Monthly,10.98,9031944,35.78,Urban,South,10.8505,76.2711
Kerala,30-09-2020,Monthly,5.91,9240913,34.6,Urban,South,10.8505,76.2711
Kerala,31-10-2020,Monthly,3.88,9152881,33.52,Urban,South,10.8505,76.2711
Madhya Pradesh,31-05-2019,Monthly,3.63,15349838,37.97,Rural,West,22.9734,78.6569
Madhya Pradesh,30-06-2019,Monthly,4.25,16294794,40.48,Rural,West,22.9734,78.6569
Madhya Pradesh,31-07-2019,Monthly,3.92,16274707,40.2,Rural,West,22.9734,78.6569
Madhya Pradesh,31-08-2019,Monthly,4.94,16559137,41.25,Rural,West,22.9734,78.6569
Madhya Pradesh,30-09-2019,Monthly,3.08,16159315,39.4,Rural,West,22.9734,78.6569
Madhya Pradesh,31-10-2019,Monthly,2.98,17060638,41.46,Rural,West,22.9734,78.6569
Madhya Pradesh,30-11-2019,Monthly,2.72,16306428,39.44,Rural,West,22.9734,78.6569
Madhya Pradesh,31-12-2019,Monthly,2.94,16854647,40.77,Rural,West,22.9734,78.6569
Madhya Pradesh,31-01-2020,Monthly,3.66,16183702,39.35,Rural,West,22.9734,78.6569
Madhya Pradesh,29-02-2020,Monthly,4.42,16178044,39.57,Rural,West,22.9734,78.6569
Madhya Pradesh,31-03-2020,Monthly,1.19,16480441,38.9,Rural,West,22.9734,78.6569
Madhya Pradesh,30-04-2020,Monthly,12.5,14238959,37.88,Rural,West,22.9734,78.6569
Madhya Pradesh,31-05-2020,Monthly,22.46,13099601,39.24,Rural,West,22.9734,78.6569
Madhya Pradesh,30-06-2020,Monthly,6.46,16748971,41.5,Rural,West,22.9734,78.6569
Madhya Pradesh,31-05-2019,Monthly,3.91,6692720,38.96,Urban,West,22.9734,78.6569
Madhya Pradesh,30-06-2019,Monthly,6.38,6509340,38.8,Urban,West,22.9734,78.6569
Madhya Pradesh,31-07-2019,Monthly,7.38,6266446,37.67,Urban,West,22.9734,78.6569
Madhya Pradesh,31-08-2019,Monthly,6.82,6809834,40.6,Urban,West,22.9734,78.6569
Madhya Pradesh,30-09-2019,Monthly,7,6655967,39.67,Urban,West,22.9734,78.6569
Madhya Pradesh,31-10-2019,Monthly,4.4,6603715,38.2,Urban,West,22.9734,78.6569
Madhya Pradesh,30-11-2019,Monthly,6.06,6459457,37.94,Urban,West,22.9734,78.6569
Madhya Pradesh,31-12-2019,Monthly,6.2,6787403,39.83,Urban,West,22.9734,78.6569
Madhya Pradesh,31-01-2020,Monthly,5.17,6834930,39.59,Urban,West,22.9734,78.6569
Madhya Pradesh,29-02-2020,Monthly,4.96,6533435,37.68,Urban,West,22.9734,78.6569
Madhya Pradesh,31-03-2020,Monthly,4.8,6386723,36.68,Urban,West,22.9734,78.6569
Madhya Pradesh,30-04-2020,Monthly,11.94,4802873,29.76,Urban,West,22.9734,78.6569
Madhya Pradesh,31-05-2020,Monthly,40.49,3879934,35.49,Urban,West,22.9734,78.6569
Madhya Pradesh,30-06-2020,Monthly,12.72,6221562,38.72,Urban,West,22.9734,78.6569
Madhya Pradesh,31-01-2020,Monthly,4.11,23018632,39.42,Urban,West,22.9734,78.6569
Madhya Pradesh,29-02-2020,Monthly,4.57,22711479,39,Urban,West,22.9734,78.6569
Madhya Pradesh,31-03-2020,Monthly,2.22,22867164,38.24,Urban,West,22.9734,78.6569
Madhya Pradesh,30-04-2020,Monthly,12.36,19041832,35.45,Urban,West,22.9734,78.6569
Madhya Pradesh,31-05-2020,Monthly,21.98,18443927,38.48,Urban,West,22.9734,78.6569
Madhya Pradesh,30-06-2020,Monthly,6.48,23054646,40.04,Urban,West,22.9734,78.6569
Madhya Pradesh,31-07-2020,Monthly,5.08,23940158,40.88,Urban,West,22.9734,78.6569
Madhya Pradesh,31-08-2020,Monthly,4.7,23619011,40.08,Urban,West,22.9734,78.6569
Madhya Pradesh,30-09-2020,Monthly,3.91,23341952,39.2,Urban,West,22.9734,78.6569
Madhya Pradesh,31-10-2020,Monthly,3.13,23144552,38.47,Urban,West,22.9734,78.6569
Maharashtra,31-05-2019,Monthly,3.67,23896858,47.11,Rural,West,19.7515,75.7139
Maharashtra,30-06-2019,Monthly,4.34,23056511,45.69,Rural,West,19.7515,75.7139
Maharashtra,31-07-2019,Monthly,3.66,24843750,48.8,Rural,West,19.7515,75.7139
Maharashtra,31-08-2019,Monthly,3.76,26835389,52.67,Rural,West,19.7515,75.7139
Maharashtra,30-09-2019,Monthly,4.4,25219281,49.74,Rural,West,19.7515,75.7139
Maharashtra,31-10-2019,Monthly,3.81,24330249,47.61,Rural,West,19.7515,75.7139
Maharashtra,30-11-2019,Monthly,3.68,24881383,48.53,Rural,West,19.7515,75.7139
Maharashtra,31-12-2019,Monthly,3.03,26357625,50.98,Rural,West,19.7515,75.7139
Maharashtra,31-01-2020,Monthly,3.8,25881398,50.36,Rural,West,19.7515,75.7139
Maharashtra,29-02-2020,Monthly,4.24,25293535,49.36,Rural,West,19.7515,75.7139
Maharashtra,31-03-2020,Monthly,5.38,23130976,45.6,Rural,West,19.7515,75.7139
Maharashtra,30-04-2020,Monthly,25.28,15014802,37.42,Rural,West,19.7515,75.7139
Maharashtra,31-05-2020,Monthly,16.89,18423447,41.21,Rural,West,19.7515,75.7139
Maharashtra,30-06-2020,Monthly,9.4,23601016,48.34,Rural,West,19.7515,75.7139
Maharashtra,31-05-2019,Monthly,6.08,16962574,38.3,Urban,West,19.7515,75.7139
Maharashtra,30-06-2019,Monthly,6.46,17375053,39.3,Urban,West,19.7515,75.7139
Maharashtra,31-07-2019,Monthly,6.35,17215677,38.81,Urban,West,19.7515,75.7139
Maharashtra,31-08-2019,Monthly,7.57,16602767,37.84,Urban,West,19.7515,75.7139
Maharashtra,30-09-2019,Monthly,7.6,17396398,39.58,Urban,West,19.7515,75.7139
Maharashtra,31-10-2019,Monthly,7.51,17221991,39.05,Urban,West,19.7515,75.7139
Maharashtra,30-11-2019,Monthly,7.6,17486683,39.61,Urban,West,19.7515,75.7139
Maharashtra,31-12-2019,Monthly,7.83,16581144,37.57,Urban,West,19.7515,75.7139
Maharashtra,31-01-2020,Monthly,6.67,16715470,37.32,Urban,West,19.7515,75.7139
Maharashtra,29-02-2020,Monthly,5.34,17122782,37.61,Urban,West,19.7515,75.7139
Maharashtra,31-03-2020,Monthly,6.34,17065830,37.8,Urban,West,19.7515,75.7139
Maharashtra,30-04-2020,Monthly,14.99,12674451,30.86,Urban,West,19.7515,75.7139
Maharashtra,31-05-2020,Monthly,15.92,12365754,30.38,Urban,West,19.7515,75.7139
Maharashtra,30-06-2020,Monthly,10.01,16172690,37.04,Urban,West,19.7515,75.7139
Maharashtra,31-01-2020,Monthly,4.95,42596868,44.19,Urban,West,19.7515,75.7139
Maharashtra,29-02-2020,Monthly,4.69,42416317,43.8,Urban,West,19.7515,75.7139
Maharashtra,31-03-2020,Monthly,5.79,40196806,41.91,Urban,West,19.7515,75.7139
Maharashtra,30-04-2020,Monthly,20.9,27689253,34.32,Urban,West,19.7515,75.7139
Maharashtra,31-05-2020,Monthly,15.46,32116847,37.17,Urban,West,19.7515,75.7139
Maharashtra,30-06-2020,Monthly,9.23,39708538,42.71,Urban,West,19.7515,75.7139
Maharashtra,31-07-2020,Monthly,3.89,40998545,41.57,Urban,West,19.7515,75.7139
Maharashtra,31-08-2020,Monthly,6.23,40963616,42.49,Urban,West,19.7515,75.7139
Maharashtra,30-09-2020,Monthly,4.55,42042911,42.75,Urban,West,19.7515,75.7139
Maharashtra,31-10-2020,Monthly,4.1,43317881,43.75,Urban,West,19.7515,75.7139
Meghalaya,31-05-2019,Monthly,3.16,1119011,66.13,Rural,Northeast,25.467,91.3662
Meghalaya,30-06-2019,Monthly,4.23,1024797,61.09,Rural,Northeast,25.467,91.3662
Meghalaya,31-07-2019,Monthly,1.03,1158511,66.67,Rural,Northeast,25.467,91.3662
Meghalaya,31-08-2019,Monthly,0.52,1065725,60.86,Rural,Northeast,25.467,91.3662
Meghalaya,30-09-2019,Monthly,0.24,1162159,66.02,Rural,Northeast,25.467,91.3662
Meghalaya,31-10-2019,Monthly,3.7,1080609,63.44,Rural,Northeast,25.467,91.3662
Meghalaya,30-11-2019,Monthly,1.5,1205703,69.03,Rural,Northeast,25.467,91.3662
Meghalaya,31-12-2019,Monthly,1.8,1102997,63.18,Rural,Northeast,25.467,91.3662
Meghalaya,31-01-2020,Monthly,0.97,1229406,69.66,Rural,Northeast,25.467,91.3662
Meghalaya,29-02-2020,Monthly,2.76,1112864,64.06,Rural,Northeast,25.467,91.3662
Meghalaya,31-03-2020,Monthly,1.28,1192616,67.46,Rural,Northeast,25.467,91.3662
Meghalaya,30-04-2020,Monthly,8.38,803118,48.83,Rural,Northeast,25.467,91.3662
Meghalaya,31-05-2020,Monthly,3.73,992148,57.26,Rural,Northeast,25.467,91.3662
Meghalaya,30-06-2020,Monthly,1.35,1150200,64.63,Rural,Northeast,25.467,91.3662
Meghalaya,31-05-2019,Monthly,8.4,228978,47.79,Urban,Northeast,25.467,91.3662
Meghalaya,30-06-2019,Monthly,8.66,231252,48.29,Urban,Northeast,25.467,91.3662
Meghalaya,31-07-2019,Monthly,4.43,284015,56.55,Urban,Northeast,25.467,91.3662
Meghalaya,31-08-2019,Monthly,5.8,259433,52.27,Urban,Northeast,25.467,91.3662
Meghalaya,30-09-2019,Monthly,5.3,253887,50.77,Urban,Northeast,25.467,91.3662
Meghalaya,31-10-2019,Monthly,7.2,234375,47.71,Urban,Northeast,25.467,91.3662
Meghalaya,30-11-2019,Monthly,3.02,293431,57.02,Urban,Northeast,25.467,91.3662
Meghalaya,31-12-2019,Monthly,5.21,267417,53.04,Urban,Northeast,25.467,91.3662
Meghalaya,31-01-2020,Monthly,4.76,261687,51.53,Urban,Northeast,25.467,91.3662
Meghalaya,29-02-2020,Monthly,7.37,233965,47.26,Urban,Northeast,25.467,91.3662
